=== TOP 500 BIGGEST MARKET CAP ===
No. | Ticker | Company                                      | Sector                 | Industry                                 | Country | Market Cap | P/E     | Price   | Change  | Volume     
--- | ------ | -------------------------------------------- | ---------------------- | ---------------------------------------- | ------- | ---------- | ------- | ------- | ------- | -----------
1   | AAPL   | Apple Inc.                                   | Technology             | Consumer Electronics                     | USA     | 1651.83B   | 29.80   | 380.16  | 1.92%   | 22,424,205 
2   | MSFT   | Microsoft Corporation                        | Technology             | Software - Infrastructure                | USA     | 1557.01B   | 35.40   | 204.06  | 1.01%   | 19,587,935 
3   | AMZN   | Amazon.com, Inc.                             | Consumer Cyclical      | Internet Retail                          | USA     | 1501.81B   | 144.91  | 3033.53 | 1.11%   | 2,940,498  
4   | FB     | Facebook, Inc.                               | Communication Services | Internet Content & Information           | USA     | 670.64B    | 33.57   | 233.29  | 1.38%   | 13,530,282 
5   | BRK-B  | Berkshire Hathaway Inc.                      | Financial              | Insurance - Diversified                  | USA     | 477.28B    | 0.03    | 196.41  | 1.18%   | 4,065,343  
6   | V      | Visa Inc.                                    | Financial              | Credit Services                          | USA     | 427.72B    | 35.74   | 198.58  | 0.94%   | 9,448,488  
7   | JNJ    | Johnson & Johnson                            | Healthcare             | Drug Manufacturers - General             | USA     | 389.96B    | 25.77   | 146.54  | -0.20%  | 4,482,881  
8   | WMT    | Walmart Inc.                                 | Consumer Defensive     | Discount Stores                          | USA     | 371.24B    | 24.86   | 130.69  | -0.81%  | 4,726,366  
9   | PG     | The Procter & Gamble Company                 | Consumer Defensive     | Household & Personal Products            | USA     | 318.15B    | 68.03   | 128.31  | 0.34%   | 6,637,337  
10  | MA     | Mastercard Incorporated                      | Financial              | Credit Services                          | USA     | 313.47B    | 39.71   | 309.30  | 0.97%   | 3,530,357  
11  | JPM    | JPMorgan Chase & Co.                         | Financial              | Banks - Diversified                      | USA     | 305.89B    | 13.43   | 99.68   | 2.42%   | 12,720,126 
